epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.722,1.93854,3.7518,1.92517,0.61539,0.27087,0.29085,0.14878,1.73443,1.92865,1.62288,0.00332026,0.00332026,0.00332026
2,158.607,1.62758,1.981,1.56437,0.55177,0.3925,0.36724,0.18794,1.76686,1.72274,1.54045,0.00665341,0.00665341,0.00665341
3,235.396,1.65292,1.89837,1.55743,0.55896,0.27624,0.31446,0.12379,2.14608,2.01246,1.86384,0.00998584,0.00998584,0.00998584
4,312.648,1.72318,1.99738,1.61647,0.41235,0.32081,0.31616,0.15479,1.89993,1.89546,1.73472,0.00999756,0.00999756,0.00999756
5,388.877,1.70551,1.92942,1.62192,0.54285,0.41125,0.42664,0.21348,1.79317,1.70581,1.67634,0.00999566,0.00999566,0.00999566
6,467.379,1.67255,1.79796,1.60013,0.40988,0.39741,0.36643,0.18887,1.79635,1.73452,1.61946,0.00999322,0.00999322,0.00999322
7,546.161,1.65467,1.75708,1.59192,0.55931,0.4628,0.46807,0.22004,1.8359,1.52468,1.63238,0.00999023,0.00999023,0.00999023
8,623.056,1.59627,1.64842,1.53583,0.51623,0.45641,0.46308,0.22083,1.853,1.46767,1.69175,0.00998671,0.00998671,0.00998671
9,701.109,1.57649,1.57827,1.52757,0.52528,0.48224,0.47308,0.2462,1.71355,1.40279,1.57881,0.00998264,0.00998264,0.00998264
10,777.84,1.54964,1.51676,1.49845,0.51762,0.48123,0.48311,0.26312,1.60554,1.3624,1.48238,0.00997803,0.00997803,0.00997803
11,855.685,1.54239,1.48031,1.50321,0.57961,0.57137,0.54313,0.25423,1.83844,1.40923,1.65746,0.00997288,0.00997288,0.00997288
12,932.836,1.53313,1.46324,1.4988,0.66351,0.50824,0.54566,0.29682,1.66893,1.26407,1.515,0.0099672,0.0099672,0.0099672
13,1011.22,1.5077,1.42755,1.46636,0.63845,0.61815,0.56594,0.31712,1.5818,1.26445,1.46923,0.00996097,0.00996097,0.00996097
14,1089.26,1.4776,1.35608,1.45798,0.65948,0.60405,0.61025,0.33484,1.59905,1.2244,1.47388,0.0099542,0.0099542,0.0099542
15,1167.61,1.47071,1.34327,1.45773,0.69149,0.54241,0.58137,0.27287,1.75974,1.21547,1.59764,0.0099469,0.0099469,0.0099469
16,1245.78,1.45955,1.32442,1.43984,0.60631,0.6396,0.60192,0.31085,1.65576,1.18917,1.52669,0.00993906,0.00993906,0.00993906
17,1322.77,1.43503,1.29095,1.42205,0.7266,0.5581,0.60164,0.33777,1.59728,1.12863,1.47885,0.00993068,0.00993068,0.00993068
18,1400.61,1.43746,1.28194,1.42008,0.63752,0.5938,0.60751,0.32213,1.59302,1.11326,1.48291,0.00992177,0.00992177,0.00992177
19,1477.55,1.42288,1.24434,1.41268,0.64239,0.61471,0.59907,0.31221,1.55597,1.16463,1.4719,0.00991232,0.00991232,0.00991232
20,1555.67,1.42368,1.23742,1.40623,0.67079,0.58129,0.6231,0.34035,1.58824,1.09143,1.44832,0.00990234,0.00990234,0.00990234
21,1633.03,1.40185,1.21087,1.39447,0.69547,0.60772,0.62157,0.34295,1.56267,1.09507,1.48117,0.00989183,0.00989183,0.00989183
22,1715.77,1.40074,1.2014,1.39978,0.63351,0.66645,0.63615,0.35167,1.56021,1.07246,1.44922,0.00988079,0.00988079,0.00988079
23,1793.76,1.39941,1.1748,1.39207,0.74862,0.55943,0.61895,0.34677,1.58403,1.10394,1.48901,0.00986922,0.00986922,0.00986922
24,1871.92,1.36597,1.12996,1.37346,0.73673,0.61127,0.6266,0.33921,1.54326,1.11105,1.43901,0.00985711,0.00985711,0.00985711
25,1949.23,1.36283,1.13738,1.36352,0.69168,0.5916,0.61169,0.35882,1.55234,1.05292,1.42624,0.00984449,0.00984449,0.00984449
26,2027.55,1.36077,1.12019,1.36438,0.72112,0.61017,0.64669,0.35685,1.55741,1.05998,1.46135,0.00983133,0.00983133,0.00983133
27,2103.45,1.36303,1.12872,1.36325,0.76379,0.60392,0.64623,0.3579,1.56759,1.06346,1.43602,0.00981765,0.00981765,0.00981765
28,2180.76,1.34799,1.08862,1.35876,0.77407,0.57586,0.63639,0.37754,1.50419,0.9979,1.44261,0.00980345,0.00980345,0.00980345
29,2258.91,1.31694,1.07521,1.3395,0.68744,0.70002,0.68895,0.39161,1.51824,0.98117,1.43435,0.00978873,0.00978873,0.00978873
30,2339.54,1.32905,1.07306,1.35403,0.69669,0.63216,0.63759,0.37444,1.5291,1.02171,1.44219,0.00977349,0.00977349,0.00977349
31,2416.36,1.32334,1.03857,1.33756,0.7512,0.61518,0.65812,0.37077,1.5342,1.00252,1.42121,0.00975773,0.00975773,0.00975773
32,2498.15,1.31819,1.04097,1.32267,0.70031,0.63499,0.63933,0.37118,1.50986,1.02817,1.40238,0.00974145,0.00974145,0.00974145
33,2574.18,1.29613,1.04321,1.32305,0.77668,0.56901,0.62366,0.3449,1.55965,0.999,1.44685,0.00972466,0.00972466,0.00972466
34,2651.24,1.29407,1.01754,1.31649,0.70678,0.62651,0.65048,0.38439,1.49706,0.99455,1.38755,0.00970736,0.00970736,0.00970736
35,2726.88,1.29359,0.98506,1.31771,0.72062,0.65823,0.66807,0.4059,1.54106,0.99349,1.42154,0.00968955,0.00968955,0.00968955
36,2804.47,1.29015,0.99732,1.30694,0.76876,0.66276,0.69521,0.39051,1.57083,0.96536,1.44104,0.00967122,0.00967122,0.00967122
37,2880.73,1.27003,0.98597,1.30046,0.69149,0.63965,0.66202,0.38046,1.54529,0.9899,1.45134,0.00965239,0.00965239,0.00965239
38,2957.76,1.27458,0.98448,1.3056,0.74069,0.63556,0.66217,0.38309,1.49257,0.98902,1.40344,0.00963306,0.00963306,0.00963306
39,3033.59,1.26393,0.96386,1.29767,0.73667,0.58497,0.63754,0.38468,1.49161,1.02171,1.41194,0.00961322,0.00961322,0.00961322
40,3110.6,1.27286,0.9578,1.29613,0.75216,0.59695,0.63336,0.33065,1.65435,1.06294,1.50212,0.00959289,0.00959289,0.00959289
41,3186.69,1.26178,0.94064,1.29396,0.7366,0.63978,0.67423,0.39849,1.48468,0.9436,1.39809,0.00957205,0.00957205,0.00957205
42,3264.47,1.25044,0.95048,1.29168,0.76956,0.62322,0.6542,0.38375,1.51668,0.98787,1.42256,0.00955072,0.00955072,0.00955072
43,3340.39,1.22791,0.92281,1.27615,0.80326,0.6313,0.66876,0.38776,1.50038,0.97618,1.40236,0.00952889,0.00952889,0.00952889
44,3417.52,1.22758,0.91973,1.26779,0.77427,0.63517,0.6585,0.38573,1.50254,0.95754,1.39975,0.00950658,0.00950658,0.00950658
45,3493.2,1.22887,0.91331,1.27161,0.77829,0.6239,0.68073,0.40214,1.51312,0.96529,1.40847,0.00948377,0.00948377,0.00948377
46,3569.93,1.22217,0.90795,1.25783,0.74227,0.65768,0.66898,0.39704,1.48693,0.91614,1.42466,0.00946048,0.00946048,0.00946048
47,3645.89,1.2145,0.89333,1.26228,0.74716,0.62513,0.66175,0.39292,1.47268,0.98151,1.41411,0.00943671,0.00943671,0.00943671
48,3722.96,1.20913,0.89243,1.25991,0.69574,0.61923,0.64142,0.37907,1.52666,1.00423,1.4217,0.00941245,0.00941245,0.00941245
49,3799.27,1.2058,0.89074,1.24517,0.76493,0.61172,0.65165,0.38206,1.47622,0.93286,1.38445,0.00938772,0.00938772,0.00938772
50,3876.07,1.20932,0.88046,1.25664,0.77479,0.6942,0.70886,0.43089,1.4368,0.88863,1.37096,0.00936251,0.00936251,0.00936251
51,3952.58,1.19961,0.88894,1.25768,0.72138,0.66295,0.68701,0.4154,1.46711,0.9122,1.38224,0.00933683,0.00933683,0.00933683
52,4030.73,1.19887,0.88502,1.24339,0.75479,0.64522,0.66628,0.40664,1.46568,0.92271,1.37707,0.00931067,0.00931067,0.00931067
53,4107.02,1.18155,0.86742,1.23944,0.80116,0.63547,0.68466,0.4171,1.46797,0.95644,1.3941,0.00928405,0.00928405,0.00928405
54,4183.81,1.17847,0.85409,1.23836,0.7564,0.66549,0.69503,0.40936,1.46152,0.9236,1.37833,0.00925697,0.00925697,0.00925697
55,4259.6,1.16691,0.84549,1.22563,0.74799,0.65034,0.69156,0.42025,1.45219,0.90941,1.36675,0.00922942,0.00922942,0.00922942
56,4337.01,1.17242,0.83337,1.22823,0.76269,0.66829,0.68157,0.39436,1.52151,0.95807,1.39761,0.00920142,0.00920142,0.00920142
57,4413.09,1.14994,0.83124,1.22035,0.74641,0.63002,0.65938,0.37792,1.52714,0.94966,1.40875,0.00917296,0.00917296,0.00917296
58,4490.61,1.15951,0.82622,1.22392,0.83052,0.59728,0.66332,0.39172,1.46747,0.92797,1.37852,0.00914405,0.00914405,0.00914405
59,4567.78,1.16304,0.81574,1.22535,0.79191,0.6431,0.68998,0.42015,1.45206,0.93081,1.36916,0.00911469,0.00911469,0.00911469
60,4645.8,1.15759,0.83441,1.22207,0.83415,0.60143,0.69295,0.40858,1.48697,0.91073,1.37469,0.00908488,0.00908488,0.00908488
61,4722.52,1.13591,0.79791,1.20365,0.71022,0.65847,0.69197,0.40858,1.49847,0.89055,1.40772,0.00905463,0.00905463,0.00905463
62,4805.4,1.15554,0.8221,1.21287,0.76348,0.63971,0.67165,0.40241,1.49113,0.93666,1.38144,0.00902395,0.00902395,0.00902395
63,4883.66,1.14104,0.80967,1.2109,0.78509,0.62202,0.68587,0.40795,1.47176,0.89273,1.39512,0.00899282,0.00899282,0.00899282
64,4960.39,1.13318,0.80049,1.20676,0.75939,0.64571,0.69361,0.4154,1.50876,0.89401,1.40254,0.00896127,0.00896127,0.00896127
65,5037.05,1.12922,0.78433,1.20955,0.78998,0.64945,0.67966,0.40689,1.47553,0.87958,1.3871,0.00892928,0.00892928,0.00892928
66,5113.01,1.11676,0.77999,1.20022,0.82771,0.61864,0.67721,0.40122,1.52066,0.92685,1.42072,0.00889687,0.00889687,0.00889687
67,5190.63,1.11167,0.78724,1.19601,0.7792,0.63359,0.66323,0.39876,1.48908,0.92173,1.37373,0.00886404,0.00886404,0.00886404
68,5266.4,1.116,0.77909,1.19602,0.74796,0.623,0.66948,0.4181,1.46115,0.93614,1.39521,0.00883079,0.00883079,0.00883079
69,5343.31,1.10826,0.78008,1.18806,0.75576,0.63846,0.68311,0.39887,1.48352,0.92229,1.39048,0.00879713,0.00879713,0.00879713
70,5419.23,1.10581,0.7719,1.18823,0.70254,0.67062,0.67954,0.4231,1.44354,0.91181,1.37042,0.00876305,0.00876305,0.00876305
71,5496.49,1.10578,0.77302,1.18707,0.71423,0.64605,0.66339,0.41463,1.46677,0.90204,1.36694,0.00872857,0.00872857,0.00872857
72,5578.92,1.10631,0.77343,1.18782,0.75986,0.67639,0.69473,0.41752,1.49014,0.85008,1.38775,0.00869368,0.00869368,0.00869368
73,5654.83,1.08445,0.74712,1.17416,0.72261,0.65033,0.67376,0.39976,1.4689,0.91747,1.38936,0.00865839,0.00865839,0.00865839
74,5730.66,1.09586,0.75321,1.17768,0.75917,0.64916,0.7043,0.4266,1.48198,0.89955,1.3671,0.00862271,0.00862271,0.00862271
75,5806.59,1.07678,0.74307,1.16594,0.76117,0.66434,0.68724,0.41836,1.45463,0.84813,1.375,0.00858664,0.00858664,0.00858664
76,5882.03,1.07372,0.7327,1.15774,0.79579,0.64632,0.69037,0.43409,1.47134,0.86841,1.3702,0.00855018,0.00855018,0.00855018
77,5963.07,1.07029,0.74112,1.1633,0.7286,0.63939,0.64656,0.40128,1.46118,0.91423,1.35225,0.00851333,0.00851333,0.00851333
78,6039.08,1.0688,0.73766,1.16316,0.84412,0.58753,0.68388,0.41877,1.4812,0.89272,1.38037,0.00847611,0.00847611,0.00847611
79,6113.81,1.06575,0.73317,1.16601,0.78031,0.64669,0.68104,0.41334,1.49021,0.88976,1.39357,0.00843851,0.00843851,0.00843851
80,6190.38,1.06221,0.71825,1.16112,0.77634,0.67357,0.70722,0.43088,1.50704,0.88917,1.41913,0.00840054,0.00840054,0.00840054
81,6266.04,1.05093,0.7244,1.15774,0.76058,0.62621,0.67341,0.40562,1.4986,0.91692,1.40925,0.0083622,0.0083622,0.0083622
82,6344.57,1.04943,0.71886,1.15357,0.73031,0.70014,0.70215,0.42204,1.49533,0.87881,1.40673,0.00832349,0.00832349,0.00832349
83,6420.11,1.06102,0.72767,1.15867,0.74704,0.64037,0.68182,0.41809,1.48672,0.89743,1.37985,0.00828443,0.00828443,0.00828443
84,6496.21,1.0457,0.71533,1.1518,0.7998,0.64891,0.68582,0.43043,1.43867,0.86913,1.35014,0.00824502,0.00824502,0.00824502
85,6571.66,1.05434,0.72769,1.16027,0.76928,0.68229,0.71014,0.42704,1.46891,0.85805,1.38001,0.00820525,0.00820525,0.00820525
86,6647.55,1.02332,0.68914,1.13614,0.74053,0.68564,0.67675,0.41853,1.49673,0.88494,1.39001,0.00816514,0.00816514,0.00816514
87,6725.76,1.03522,0.70079,1.14718,0.70344,0.71226,0.70807,0.442,1.43755,0.8728,1.35763,0.00812468,0.00812468,0.00812468
88,6807.97,1.01631,0.69065,1.13646,0.75525,0.67804,0.70927,0.44234,1.46417,0.87803,1.37057,0.00808389,0.00808389,0.00808389
89,6886.82,1.03071,0.70013,1.14233,0.76185,0.67986,0.71636,0.42526,1.50065,0.89896,1.4197,0.00804277,0.00804277,0.00804277
90,6963.13,1.02178,0.69252,1.13528,0.79697,0.62473,0.70364,0.43942,1.47751,0.89298,1.38082,0.00800131,0.00800131,0.00800131
91,7040.57,1.0149,0.68807,1.13691,0.74393,0.65622,0.68714,0.44023,1.44994,0.88538,1.38191,0.00795954,0.00795954,0.00795954
92,7122.29,1.02194,0.69233,1.14041,0.74505,0.64817,0.66742,0.41785,1.46498,0.904,1.38964,0.00791744,0.00791744,0.00791744
93,7199.12,1.0247,0.6842,1.14271,0.75432,0.6654,0.69827,0.43954,1.44831,0.86828,1.366,0.00787503,0.00787503,0.00787503
94,7277.02,1.0059,0.67511,1.1276,0.84288,0.61869,0.70072,0.43176,1.4464,0.85928,1.37323,0.00783231,0.00783231,0.00783231
95,7353.06,1.00047,0.68116,1.12994,0.82219,0.62377,0.67594,0.42551,1.45744,0.87591,1.36991,0.00778929,0.00778929,0.00778929
96,7430.1,1.00337,0.66992,1.12445,0.78948,0.60106,0.65913,0.42035,1.44206,0.90679,1.36677,0.00774596,0.00774596,0.00774596
97,7506.42,0.99982,0.66477,1.12903,0.67424,0.68995,0.68845,0.42889,1.46209,0.87367,1.38175,0.00770234,0.00770234,0.00770234
98,7583.63,1.01124,0.67859,1.12665,0.7898,0.64248,0.69542,0.43487,1.45076,0.85507,1.37237,0.00765843,0.00765843,0.00765843
99,7659.71,0.99784,0.66824,1.12726,0.75446,0.68663,0.7089,0.43842,1.44703,0.8426,1.37975,0.00761423,0.00761423,0.00761423
100,7736.31,0.96872,0.6494,1.11383,0.75831,0.64711,0.68119,0.42901,1.45101,0.84592,1.39393,0.00756976,0.00756976,0.00756976
101,7812.59,0.99001,0.64872,1.1108,0.78273,0.68349,0.71619,0.43301,1.50367,0.87159,1.42622,0.007525,0.007525,0.007525
102,7895.33,0.97707,0.65113,1.11233,0.72682,0.68354,0.70378,0.43013,1.49106,0.88397,1.42738,0.00747997,0.00747997,0.00747997
103,7972.13,0.97693,0.64919,1.11307,0.79491,0.63149,0.70519,0.43994,1.44986,0.86695,1.39778,0.00743468,0.00743468,0.00743468
104,8048.57,0.96808,0.64449,1.11206,0.7609,0.67127,0.7077,0.43049,1.4681,0.85483,1.39878,0.00738913,0.00738913,0.00738913
105,8124.78,0.9676,0.63506,1.10058,0.82024,0.63009,0.70515,0.4349,1.44738,0.86895,1.37969,0.00734332,0.00734332,0.00734332
106,8201.16,0.95754,0.64512,1.10299,0.78888,0.65747,0.70687,0.43215,1.46977,0.86685,1.395,0.00729725,0.00729725,0.00729725
107,8277.36,0.96254,0.63121,1.09953,0.74134,0.68499,0.69782,0.43596,1.47945,0.88335,1.39476,0.00725094,0.00725094,0.00725094
108,8355.15,0.95836,0.63775,1.09826,0.84234,0.6222,0.68891,0.42289,1.49971,0.87772,1.41616,0.00720439,0.00720439,0.00720439
109,8431.52,0.95346,0.63352,1.1005,0.82661,0.60881,0.6986,0.41887,1.50708,0.88255,1.40823,0.00715761,0.00715761,0.00715761
110,8509.24,0.95133,0.63497,1.09528,0.79402,0.62887,0.68874,0.41001,1.50114,0.87698,1.39963,0.00711059,0.00711059,0.00711059
111,8585.93,0.94479,0.63237,1.09412,0.80051,0.66574,0.71831,0.43972,1.46508,0.85672,1.38541,0.00706335,0.00706335,0.00706335
112,8664.83,0.95097,0.63489,1.10121,0.83043,0.65256,0.7201,0.44622,1.45102,0.83757,1.37696,0.00701588,0.00701588,0.00701588
113,8745.43,0.94424,0.63355,1.08947,0.76533,0.65921,0.70229,0.43843,1.47917,0.88143,1.40289,0.0069682,0.0069682,0.0069682
114,8822.55,0.94353,0.62696,1.09756,0.76813,0.67375,0.70937,0.43946,1.47323,0.85769,1.38381,0.00692031,0.00692031,0.00692031
115,8899.13,0.94248,0.63591,1.08944,0.78208,0.65924,0.71054,0.44284,1.46773,0.84286,1.37654,0.00687222,0.00687222,0.00687222
116,8974.85,0.92799,0.61315,1.0718,0.74264,0.68712,0.69863,0.43347,1.44174,0.84257,1.35545,0.00682392,0.00682392,0.00682392
117,9051.92,0.9312,0.60941,1.08396,0.78263,0.64915,0.70401,0.43893,1.46009,0.83892,1.37731,0.00677543,0.00677543,0.00677543
118,9127.66,0.93072,0.62033,1.08419,0.77394,0.64768,0.68993,0.4226,1.47277,0.86144,1.38921,0.00672675,0.00672675,0.00672675
119,9204.42,0.92168,0.61475,1.08659,0.78244,0.64273,0.69397,0.42129,1.48256,0.88054,1.40288,0.00667789,0.00667789,0.00667789
120,9280.9,0.91566,0.61026,1.08201,0.75332,0.68149,0.69363,0.42407,1.48866,0.85492,1.39953,0.00662885,0.00662885,0.00662885
121,9357.22,0.91549,0.61158,1.07941,0.7885,0.62426,0.6874,0.4288,1.45693,0.86653,1.36919,0.00657963,0.00657963,0.00657963
122,9435.09,0.92532,0.6141,1.08265,0.79252,0.65151,0.69584,0.42754,1.44497,0.86957,1.37104,0.00653025,0.00653025,0.00653025
